Company,Rating,Location,Employee_Size,Industry,Review
Infowind Technologies,4.4,Indore,1 to 50,Information Technology Support Services,23
clickworker,3.5,Indore,1 to 50,Internet & Web Services,339
Teamwork,3.8,Indore,201 to 500,Computer Hardware Development,192
ABM Knowledgeware,3.6,Indore,501 to 1000,Information Technology Support Services,147
Sedna Consulting Group,4.2,Indore,1 to 50,Computer Hardware Development,22
FreeCharge,3.7,Indore,501 to 1000,Internet & Web Services,298
Cibirix,4.2,Indore,1 to 50,Information Technology Support Services,31
Kumaran Systems,3.8,Indore,501 to 1000,Computer Hardware Development,287
Dailyhunt,3.7,Indore,501 to 1000,Internet & Web Services,306
Verdantis,3.9,Indore,51 to 200,Information Technology Support Services,39
Altruist Technologies,4.3,Indore,10000+,Information Technology Support Services,867
Genpact,4.0,Indore,10000+,Information Technology Support Services,21.2T
XYZ,3.8,Indore,1 to 50,Computer Hardware Development,3.5T
Apple,4.2,Indore,10000+,Computer Hardware Development,39.8T
Concentrix,4.2,Indore,10000+,Information Technology Support Services,32T
Atos-Syntel,3.6,Indore,10000+,Information Technology Support Services,7.7T
Deqode,4.1,Indore,201 to 500,Information Technology Support Services,299
Dell Technologies,4.3,Indore,10000+,Information Technology Support Services,34T
Paytm,3.6,Indore,10000+,Internet & Web Services,4T
Hexaware Technologies,3.7,Indore,10000+,Information Technology Support Services,5.3T
Velotio,4.7,Indore,201 to 500,Information Technology Support Services,106
Awign Enterprises,4.4,Indore,201 to 500,Internet & Web Services,381
Workpulse,4.5,Indore,1 to 50,Enterprise Software & Network Solutions,27
Profilics,4.9,Indore,1 to 50,Information Technology Support Services,21
JustAnswer,3.9,Indore,501 to 1000,Internet & Web Services,272
Iimjobs.com,4.0,Indore,51 to 200,Internet & Web Services,137
Shriffle,4.7,Indore,1 to 50,Information Technology Support Services,20
HackerOne,4.6,Indore,201 to 500,Enterprise Software & Network Solutions,181
Idea Usher,4.8,Indore,51 to 200,Information Technology Support Services,92
Seclore Technology,4.5,Indore,201 to 500,Enterprise Software & Network Solutions,162
Simpalm,4.1,Indore,1 to 50,Software Development,24
Turtlemint,4.1,Indore,201 to 500,Internet & Web Services,199
Extentia,3.9,Indore,501 to 1000,Information Technology Support Services,254
NewVision Software & Consultancy,4.3,Indore,201 to 500,Information Technology Support Services,106
Webvillee Technology Pvt Ltd,4.6,Indore,51 to 200,Information Technology Support Services,31
Evolve Technologies & Services,4.1,Indore,1001 to 5000,Information Technology Support Services,93
Caresoft Global,3.7,Indore,1001 to 5000,Information Technology Support Services,210
Brane Enterprises (nslhub),3.7,Indore,1001 to 5000,Software Development,236
Creative Thoughts Informatics,4.6,Indore,1 to 50,Information Technology Support Services,22
TagX,4.6,Indore,1 to 50,Information Technology Support Services,22
Gems Essence,4.3,Indore,1 to 50,Information Technology Support Services,17
Google DeepMind,4.5,Indore,1001 to 5000,Computer Hardware Development,134
mjunction services limited,4.0,Indore,501 to 1000,Information Technology Support Services,177
Safeguard Global,3.6,Indore,1001 to 5000,Information Technology Support Services,214
GOFRUGAL Technologies,4.2,Indore,201 to 500,Enterprise Software & Network Solutions,240
Geekyants Software,4.0,Indore,201 to 500,Information Technology Support Services,198
Allied Digital Services,3.5,Indore,1001 to 5000,Computer Hardware Development,304
Varite,3.7,Indore,201 to 500,Information Technology Support Services,327
Recro,4.3,Indore,51 to 200,Internet & Web Services,172
Nearbuy,4.2,Indore,501 to 1000,Internet & Web Services,276
Abhyudaya Multimedia,4.5,Indore,51 to 200,Information Technology Support Services,28
Ittiam Systems,3.6,Indore,201 to 500,Enterprise Software & Network Solutions,178
Airmeet,4.4,Indore,201 to 500,Enterprise Software & Network Solutions,149
DynPro,3.7,Indore,51 to 200,Information Technology Support Services,191
Sureshkumar,3.8,Indore,,Internet & Web Services,202
Yocket,4.3,Indore,201 to 500,Internet & Web Services,144
ARYUPAY,5.0,Indore,201 to 500,Information Technology Support Services,7
Interra Information Technologies,3.6,Indore,501 to 1000,Information Technology Support Services,174
Engineer Master,4.8,Indore,51 to 200,Information Technology Support Services,26
CashKaro.com,4.9,Indore,51 to 200,Internet & Web Services,288
Times Business Solutions,3.6,Indore,501 to 1000,Internet & Web Services,112
Teqlawn,4.9,Indore,1 to 50,Software Development,14
Ayush Software,3.8,Indore,1 to 50,Information Technology Support Services,98
BatchService,4.6,Indore,51 to 200,Enterprise Software & Network Solutions,177
Talentsoft,3.7,Indore,501 to 1000,Enterprise Software & Network Solutions,162
Qualtech Consultants Pvt.,4.5,Indore,51 to 200,Information Technology Support Services,341
Akshaya,4.0,Indore,51 to 200,Information Technology Support Services,145
Synsoft Global,4.1,Indore,51 to 200,Software Development,24
MindCrew Technologies,4.5,Indore,1 to 50,Information Technology Support Services,22
Walking Tree,4.4,Indore,201 to 500,Information Technology Support Services,193
Pavan,3.9,Indore,201 to 500,Computer Hardware Development,164
Infoxeron,4.8,Indore,1 to 50,Information Technology Support Services,32
Grapecity,3.9,Indore,51 to 200,Computer Hardware Development,133
